gene_acronym,gene_name,gene_entrez_id,age_in_days,age,donor_sex,structure_name,expression_energy
Scn10a,"sodium channel, voltage-gated, type X, alpha",20264,56.0,P56,M,prosomere 3,0.0474505
Scn10a,"sodium channel, voltage-gated, type X, alpha",20264,56.0,P56,M,prosomere 3,0.0417973
Scn10a,"sodium channel, voltage-gated, type X, alpha",20264,56.0,P56,F,prosomere 3,0.153229
Scg3,secretogranin III,20255,56.0,P56,M,prosomere 3,5.90096
Creb3l1,cAMP responsive element binding protein 3-like 1,26427,56.0,P56,M,prosomere 3,1.79823
Sema4g,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G",26456,56.0,P56,M,prosomere 3,7.12099
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,3.09083
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,3.01281
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,2.75415
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,2.92026
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,2.86488
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,0.27728
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,1.49218
Nrgn,neurogranin,64011,56.0,P56,M,prosomere 3,5.84993
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,2.32797
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,0.71401
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,2.33001
Homer1,homer homolog 1 (Drosophila),26556,56.0,P56,M,prosomere 3,2.02864
