ensembl_gene_id,gene_symbol,druggability_tier,small_mol_druggable,bio_druggable,adme_gene
ENSG00000113721,PDGFRB,Tier 1,Y,Y,N
ENSG00000113749,HRH2,Tier 1,Y,N,N
ENSG00000114013,CD86,Tier 1,N,Y,N
ENSG00000114124,GRK7,Tier 1,Y,N,N
ENSG00000114200,BCHE,Tier 1,Y,Y,N
ENSG00000114770,ABCC5,Tier 1,Y,N,Y
ENSG00000114859,CLCN2,Tier 1,Y,N,N
ENSG00000115008,IL1A,Tier 1,N,Y,N
ENSG00000115085,ZAP70,Tier 1,Y,N,N
ENSG00000115159,GPD2,Tier 1,Y,N,N
ENSG00000115170,ACVR1,Tier 1,Y,Y,N
ENSG00000115221,ITGB6,Tier 1,Y,Y,N
ENSG00000115232,ITGA4,Tier 1,Y,Y,N
ENSG00000115310,RTN4,Tier 1,N,Y,N
ENSG00000115353,TACR1,Tier 1,Y,Y,N
ENSG00000115414,FN1,Tier 1,N,Y,N
ENSG00000115486,GGCX,Tier 1,Y,N,N
ENSG00000115526,CHST10,Tier 1,N,N,Y
ENSG00000115590,IL1R2,Tier 1,N,Y,N
ENSG00000115594,IL1R1,Tier 1,N,Y,N
ENSG00000115657,ABCB6,Tier 1,N,N,Y
ENSG00000115661,STK16,Tier 1,Y,N,N
ENSG00000115694,STK25,Tier 1,Y,N,N
ENSG00000115705,TPO,Tier 1,Y,N,N
ENSG00000115758,ODC1,Tier 1,Y,N,N
ENSG00000115825,PRKD3,Tier 1,Y,N,N
ENSG00000115884,SDC1,Tier 1,N,Y,N
ENSG00000115977,AAK1,Tier 1,Y,N,N
ENSG00000116032,GRIN3B,Tier 1,Y,N,N
ENSG00000116106,EPHA4,Tier 1,Y,N,N
ENSG00000116141,MARK1,Tier 1,Y,N,N
ENSG00000116157,GPX7,Tier 1,N,N,Y
ENSG00000116329,OPRD1,Tier 1,Y,N,N
ENSG00000116478,HDAC1,Tier 1,Y,N,N
ENSG00000116711,PLA2G4A,Tier 1,Y,N,N
ENSG00000116783,TNNI3K,Tier 1,Y,N,N
ENSG00000116824,CD2,Tier 1,N,Y,N
ENSG00000117013,KCNQ4,Tier 1,Y,Y,N
ENSG00000117020,AKT3,Tier 1,Y,N,N
ENSG00000117215,PLA2G2D,Tier 1,Y,Y,N
ENSG00000117362,APH1A,Tier 1,Y,N,N
ENSG00000117400,MPL,Tier 1,Y,Y,N
ENSG00000117448,AKR1A1,Tier 1,Y,N,N
ENSG00000117480,FAAH,Tier 1,Y,N,N
ENSG00000117507,FMO6P,Tier 1,N,N,Y
ENSG00000117525,F3,Tier 1,Y,Y,N
